"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ror-activite-operationnelle","ror-activite-operationnelle","","","",0,*,"","","","null {[]} {[]}
","Activité opérationnelle dans le contexte ROR","Ensemble cohérent d'actions et de pratiques mises en œuvre pour répondre aux besoins de santé d'une personne.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ror-activite-operationnelle.activiteOperationnelle","ror-activite-operationnelle.activiteOperationnelle","","","",1,1,"","","","Coding {[]} {[]}
","Une activité opérationnelle est un ensemble cohérent d'actions et de pratiques mises en œuvre pour répondre aux besoins de Santé de la personne. Elle peut être d'ordre sanitaire, social ou médico-social.","Une activité opérationnelle est un ensemble cohérent d'actions et de pratiques mises en œuvre pour répondre aux besoins de Santé de la personne.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/jdv-ror-activite-operationnelle|0.1.0","",,,,"ror-activite-operationnelle.activiteOperationnelle",1,1,"",""
"ror-activite-operationnelle.familleActiviteOperationnelle","ror-activite-operationnelle.familleActiviteOperationnelle","","","",0,1,"","","","Coding {[]} {[]}
","Regroupement cohérent d'activités délivrées dans le cadre d'une prestation, répondant à un besoin de la personne. Dans le secteur médico-social, correspond au niveau 4 des prestations de la nomenclature SERAFIN.","Regroupement cohérent d'activités délivrées dans le cadre d'une prestation.","","","","","","","","","",,"required","","https://mos.esante.gouv.fr/NOS/JDV_J51-FamilleActiviteOperationnelle-ROR/FHIR/JDV-J51-FamilleActiviteOperationnelle-ROR|20230127120000","",,,,"ror-activite-operationnelle.familleActiviteOperationnelle",0,1,"",""
"ror-activite-operationnelle.metadonnee","ror-activite-operationnelle.metadonnee","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/test-ror/StructureDefinition/ror-metadonnee {[]} {[]}
","Informations relatives à la gestion des données de l'activité opérationnelle dans le ROR.","Informations relatives à la gestion des données de l'activité opérationnelle dans le ROR.","","","","","","","","","",,,,,"",,,,"ror-activite-operationnelle.metadonnee",1,1,"",""
