"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ror-entite-geographique","ror-entite-geographique.dateAutorisation","ror-entite-geographique.dateAutorisation","","","",0,1,"","","","date {[]} {[]}
","Date d’autorisation qui correspond à la date de l’arrêté autorisant la création d’un établissement ou de la première autorisation délivrée pour des équipements.","Date d’autorisation qui correspond à la date de l’arrêté autorisant la création d’un établissement ou de la première autorisation délivrée pour des équipements.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.dateAutorisation",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.accessibiliteLieu","ror-entite-geographique.accessibiliteLieu","","","",0,1,"","","","Coding {[]} {[]}
","Information précisant dans quelle mesure le lieu est conforme aux dispositions règlementaires relatives à l’accessibilité des établissements recevant du public (ex : accessible, non accessible, sur demande, non communiqué, etc.).Rappel sur l'obligation d'accessibilité des établissements recevant du public (ERP) aux personnes handicapées (service-public.fr):Les établissements ouverts au public (magasin, bureau, hôtel, etc.) doivent être accessibles aux personnes handicapées. Les établissements recevant du public (ERP) non conformes aux règles d'accessibilité sont tenus de s'inscrire à un Agenda d'Accessibilité Programmée (Ad'AP) qui permet d'engager les travaux nécessaires dans un délai limité.Règles d'accessibilité:Les normes d'accessibilité doivent permettre aux personnes handicapées de circuler avec la plus grande autonomie possible, d'accéder aux locaux et équipements, d'utiliser les équipements et les prestations, de se repérer et de communiquer.L'accès concerne tout type de handicap (moteur, visuel, auditif, mental...).Les conditions d'accès doivent être les mêmes que pour les personnes valides ou, à défaut, présenter une qualité d'usage équivalente.L'accessibilité de ces établissements et de leurs abords concerne :** les cheminements extérieurs,** le stationnement des véhicules,** les conditions d'accès et d'accueil dans les bâtiments,** les circulations horizontales et verticales à l'intérieur des bâtiments,** les locaux intérieurs et les sanitaires ouverts au public,** les portes, les sas intérieurs et les sorties,** les revêtements des sols et des parois,** les équipements et mobiliers intérieurs et extérieurs susceptibles d'y être installés (dispositifs d'éclairage et d'information des usagers, par exemple).","Information précisant dans quelle mesure le lieu est conforme aux dispositions règlementaires relatives à l’accessibilité des établissements recevant du public (ex : accessible, non accessible, sur demande, non communiqué, etc.).Rappel sur l'obligation d'accessibilité des établissements recevant du public (ERP) aux personnes handicapées (service-public.fr):Les établissements ouverts au public (magasin, bureau, hôtel, etc.) doivent être accessibles aux personnes handicapées. Les établissements recevant du public (ERP) non conformes aux règles d'accessibilité sont tenus de s'inscrire à un Agenda d'Accessibilité Programmée (Ad'AP) qui permet d'engager les travaux nécessaires dans un délai limité.Règles d'accessibilité:Les normes d'accessibilité doivent permettre aux personnes handicapées de circuler avec la plus grande autonomie possible, d'accéder aux locaux et équipements, d'utiliser les équipements et les prestations, de se repérer et de communiquer.L'accès concerne tout type de handicap (moteur, visuel, auditif, mental...).Les conditions d'accès doivent être les mêmes que pour les personnes valides ou, à défaut, présenter une qualité d'usage équivalente.L'accessibilité de ces établissements et de leurs abords concerne :** les cheminements extérieurs,** le stationnement des véhicules,** les conditions d'accès et d'accueil dans les bâtiments,** les circulations horizontales et verticales à l'intérieur des bâtiments,** les locaux intérieurs et les sanitaires ouverts au public,** les portes, les sas intérieurs et les sorties,** les revêtements des sols et des parois,** les équipements et mobiliers intérieurs et extérieurs susceptibles d'y être installés (dispositifs d'éclairage et d'information des usagers, par exemple).","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R202-AccessibiliteLieu/FHIR/TRE-R202-AccessibiliteLieu?vs","",,,,"EntiteGeographique.accessibiliteLieu",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.zonePoser","ror-entite-geographique.zonePoser","","","",0,1,"","","","boolean {[]} {[]}
","Indicateur portant sur l'existence d'une zone de poser pour hélicoptère sur le site même.Valeurs possibles: 0 = Pas de zone de poser 1 = Existence d'une zone de poser","Indicateur portant sur l'existence d'une zone de poser pour hélicoptère sur le site même.Valeurs possibles: 0 = Pas de zone de poser 1 = Existence d'une zone de poser","","","","","","","","","",,,,,"",,,,"EntiteGeographique.zonePoser",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.niveauRecoursORSAN","ror-entite-geographique.niveauRecoursORSAN","","","",0,1,"","","","Coding {[]} {[]}
","Le niveau de recours ORSAN correspond à une hiérarchisation fonctionnelle de la mobilisation des établissements pour accueillir les patients après régulation par le SAMU.","Le niveau de recours ORSAN correspond à une hiérarchisation fonctionnelle de la mobilisation des établissements pour accueillir les patients après régulation par le SAMU.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R284-NiveauRecoursORSAN/FHIR/TRE-R284-NiveauRecoursORSAN?vs","",,,,"EntiteGeographique.niveauRecoursORSAN",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.venteLigneURL","ror-entite-geographique.venteLigneURL","","","",0,1,"","","","string {[]} {[]}
","URL du site de vente en ligne","URL du site de vente en ligne","","","","","","","","","",,,,,"",,,,"EntiteGeographique.venteLigneURL",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.nbPlaceAideSocialeTemporaire","ror-entite-geographique.nbPlaceAideSocialeTemporaire","","","",0,1,"","","","integer {[]} {[]}
","Il s'agit du nombre de places temporaires dédiées à l'aide sociale dans l'établissement.","Il s'agit du nombre de places temporaires dédiées à l'aide sociale dans l'établissement.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.nbPlaceAideSocialeTemporaire",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.nbPlaceAideSocialePermanent","ror-entite-geographique.nbPlaceAideSocialePermanent","","","",0,1,"","","","integer {[]} {[]}
","Il s'agit du nombre de places permanentes dédiées à l'aide sociale dans l'établissement.","Il s'agit du nombre de places permanentes dédiées à l'aide sociale dans l'établissement.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.nbPlaceAideSocialePermanent",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.adresseEG","ror-entite-geographique.adresseEG","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Adresse {[]} {[]}
","Adresse(s) géopostale(s) de l'entité géographique en fonction de l'usage (adresse administrative, adresse entrée des véhicules, adresse entrée piétonne, etc.).L'implantation géographique peut également être décrite au travers de la classe Lieu.","Adresse(s) géopostale(s) de l'entité géographique en fonction de l'usage (adresse administrative, adresse entrée des véhicules, adresse entrée piétonne, etc.).L'implantation géographique peut également être décrite au travers de la classe Lieu.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.adresseEG",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.implantationGeographique","ror-entite-geographique.implantationGeographique","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Lieu {[]} {[]}
","Implantation géographique de l’EG sur un lieu connu.","Implantation géographique de l’EG sur un lieu connu.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.implantationGeographique",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.lieuEG","ror-entite-geographique.lieuEG","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Lieu {[]} {[]}
","Lieu à l'intérieur d'une EG tels que l'entrée A, pavillon des violettes, etcUn lieu peut notamment être décrit par une adresse et des coordonnées géographiques.","Lieu à l'intérieur d'une EG tels que l'entrée A, pavillon des violettes, etcUn lieu peut notamment être décrit par une adresse et des coordonnées géographiques.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.lieuEG",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.divisionTerritoriale","ror-entite-geographique.divisionTerritoriale","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/DivisionTerritoriale {[]} {[]}
","Division(s) territoriale(s) (commune, département, etc.) où est située l'entité géographique.","Division(s) territoriale(s) (commune, département, etc.) où est située l'entité géographique.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.divisionTerritoriale",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.contact","ror-entite-geographique.contact","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Contact {[]} {[]}
","Point(s) de contact de l'entité géographique.Par exemple, ce sont les informations permettant de contacter l'accueil ou le secrétariat de l'entité géographique.Les contacts du directeur et de la cellule d'alerte peuvent être inclus dans cette liste de contacts.","Point(s) de contact de l'entité géographique.Par exemple, ce sont les informations permettant de contacter l'accueil ou le secrétariat de l'entité géographique.Les contacts du directeur et de la cellule d'alerte peuvent être inclus dans cette liste de contacts.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.contact",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.telecommunication","ror-entite-geographique.telecommunication","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Telecommunication {[]} {[]}
","Adresse(s) de télécommunication de l'entité géographique (numéro de téléphone, adresse email, URL, etc.).","Adresse(s) de télécommunication de l'entité géographique (numéro de téléphone, adresse email, URL, etc.).","","","","","","","","","",,,,,"",,,,"EntiteGeographique.telecommunication",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.boiteLettresMSS","ror-entite-geographique.boiteLettresMSS","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/BoiteLettreMSS {[]} {[]}
","Boîte(s) aux lettres du service de messagerie sécurisée de santé (MSS) rattachée(s) à l'entité géographique.","Boîte(s) aux lettres du service de messagerie sécurisée de santé (MSS) rattachée(s) à l'entité géographique.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.boiteLettresMSS",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.commentaire","ror-entite-geographique.commentaire","","","",0,1,"","","","string {[]} {[]}
","Commentaire qui permet à la structure de donner des informations complémentaires.","Commentaire qui permet à la structure de donner des informations complémentaires.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.commentaire",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.SituationExercice","ror-entite-geographique.SituationExercice","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/SituationExercice {[]} {[]}
","Lien vers la classe SituationExercice","Lien vers la classe SituationExercice","","","","","","","","","",,,,,"",,,,"EntiteGeographique.SituationExercice",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.Certificat","ror-entite-geographique.Certificat","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Certificat {[]} {[]}
","Lien vers la classe Certificat","Lien vers la classe Certificat","","","","","","","","","",,,,,"",,,,"EntiteGeographique.Certificat",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.EntiteJuridique","ror-entite-geographique.EntiteJuridique","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/EntiteJuridique {[]} {[]}
","Lien vers la classe EntiteJuridique","Lien vers la classe EntiteJuridique","","","","","","","","","",,,,,"",,,,"EntiteGeographique.EntiteJuridique",1,1,"",""
"ror-entite-geographique","ror-entite-geographique.Lieu","ror-entite-geographique.Lieu","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Lieu {[]} {[]}
","Lien vers la classe Lieu","Lien vers la classe Lieu","","","","","","","","","",,,,,"",,,,"EntiteGeographique.Lieu",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.Convention","ror-entite-geographique.Convention","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Convention {[]} {[]}
","Lien vers la classe Convention","Lien vers la classe Convention","","","","","","","","","",,,,,"",,,,"EntiteGeographique.Convention",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.EquipementMaterielLourd","ror-entite-geographique.EquipementMaterielLourd","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/EquipementMaterielLourd {[]} {[]}
","Lien vers la classe EquipementMaterielLourd","Lien vers la classe EquipementMaterielLourd","","","","","","","","","",,,,,"",,,,"EntiteGeographique.EquipementMaterielLourd",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.LicenceExploitation","ror-entite-geographique.LicenceExploitation","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/LicenceExploitation {[]} {[]}
","Lien vers la classe LicenceExploitation","Lien vers la classe LicenceExploitation","","","","","","","","","",,,,,"",,,,"EntiteGeographique.LicenceExploitation",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.ActiviteEnseignement","ror-entite-geographique.ActiviteEnseignement","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/ActiviteEnseignement {[]} {[]}
","Lien vers la classe ActiviteEnseignement","Lien vers la classe ActiviteEnseignement","","","","","","","","","",,,,,"",,,,"EntiteGeographique.ActiviteEnseignement",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.TarifPrestation","ror-entite-geographique.TarifPrestation","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/TarifPrestation {[]} {[]}
","Lien vers la classe TarifPrestation","Lien vers la classe TarifPrestation","","","","","","","","","",,,,,"",,,,"EntiteGeographique.TarifPrestation",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.ActiviteSoinAutorisee","ror-entite-geographique.ActiviteSoinAutorisee","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/ActiviteSoinAutorisee {[]} {[]}
","Lien vers la classe ActiviteSoinAutorisee","Lien vers la classe ActiviteSoinAutorisee","","","","","","","","","",,,,,"",,,,"EntiteGeographique.ActiviteSoinAutorisee",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.AutreActiviteSoumiseAutorisation","ror-entite-geographique.AutreActiviteSoumiseAutorisation","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/AutreActiviteSoumiseAutorisation {[]} {[]}
","Lien vers la classe AutreActiviteSoumiseAutorisation","Lien vers la classe AutreActiviteSoumiseAutorisation","","","","","","","","","",,,,,"",,,,"EntiteGeographique.AutreActiviteSoumiseAutorisation",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.ActiviteSoumiseReconnaissance","ror-entite-geographique.ActiviteSoumiseReconnaissance","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/ActiviteSoumiseReconnaissance {[]} {[]}
","Lien vers la classe ActiviteSoumiseReconnaissance","Lien vers la classe ActiviteSoumiseReconnaissance","","","","","","","","","",,,,,"",,,,"EntiteGeographique.ActiviteSoumiseReconnaissance",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.ActiviteSociale","ror-entite-geographique.ActiviteSociale","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/ActiviteSociale {[]} {[]}
","Lien vers la classe ActiviteSociale","Lien vers la classe ActiviteSociale","","","","","","","","","",,,,,"",,,,"EntiteGeographique.ActiviteSociale",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.CapaciteActiviteExercee","ror-entite-geographique.CapaciteActiviteExercee","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/CapaciteActiviteExercee {[]} {[]}
","Lien vers la classe CapaciteActiviteExercee","Lien vers la classe CapaciteActiviteExercee","","","","","","","","","",,,,,"",,,,"EntiteGeographique.CapaciteActiviteExercee",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.OffreOperationnelle","ror-entite-geographique.OffreOperationnelle","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/OffreOperationnelle {[]} {[]}
","Lien vers la classe OffreOperationnelle","Lien vers la classe OffreOperationnelle","","","","","","","","","",,,,,"",,,,"EntiteGeographique.OffreOperationnelle",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.OrganisationInterne","ror-entite-geographique.OrganisationInterne","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/OrganisationInterne {[]} {[]}
","Lien vers la classe OrganisationInterne","Lien vers la classe OrganisationInterne","","","","","","","","","",,,,,"",,,,"EntiteGeographique.OrganisationInterne",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.Emploi","ror-entite-geographique.Emploi","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Emploi {[]} {[]}
","Lien vers la classe Emploi","Lien vers la classe Emploi","","","","","","","","","",,,,,"",,,,"EntiteGeographique.Emploi",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.AidantDemarche","ror-entite-geographique.AidantDemarche","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/AidantDemarche {[]} {[]}
","Lien vers la classe AidantDemarche","Lien vers la classe AidantDemarche","","","","","","","","","",,,,,"",,,,"EntiteGeographique.AidantDemarche",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.MesureProtection","ror-entite-geographique.MesureProtection","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/MesureProtection {[]} {[]}
","Lien vers la classe MesureProtection","Lien vers la classe MesureProtection","","","","","","","","","",,,,,"",,,,"EntiteGeographique.MesureProtection",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.NoteLiaison","ror-entite-geographique.NoteLiaison","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/NoteLiaison {[]} {[]}
","Lien vers la classe NoteLiaison","Lien vers la classe NoteLiaison","","","","","","","","","",,,,,"",,,,"EntiteGeographique.NoteLiaison",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.Agenda","ror-entite-geographique.Agenda","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Agenda {[]} {[]}
","Lien vers la classe Agenda","Lien vers la classe Agenda","","","","","","","","","",,,,,"",,,,"EntiteGeographique.Agenda",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.RendezVous","ror-entite-geographique.RendezVous","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/RendezVous {[]} {[]}
","Lien vers la classe RendezVous","Lien vers la classe RendezVous","","","","","","","","","",,,,,"",,,,"EntiteGeographique.RendezVous",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.CapaciteAccueil","ror-entite-geographique.CapaciteAccueil","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/CapaciteAccueil {[]} {[]}
","Lien vers la classe CapaciteAccueil","Lien vers la classe CapaciteAccueil","","","","","","","","","",,,,,"",,,,"EntiteGeographique.CapaciteAccueil",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.CapaciteHabitation","ror-entite-geographique.CapaciteHabitation","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/CapaciteHabitation {[]} {[]}
","Lien vers la classe CapaciteHabitation","Lien vers la classe CapaciteHabitation","","","","","","","","","",,,,,"",,,,"EntiteGeographique.CapaciteHabitation",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.coordonneesGeographiques","ror-entite-geographique.coordonneesGeographiques","","","",0,1,"","","","BackboneElement {[]} {[]}
","Géolocalisation pour l'affichage cartographique","Coordonnées GPS de l'entité","","","","","","","","","",,,,,"",,,,"ror-entite-geographique.coordonneesGeographiques",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ror-entite-geographique","ror-entite-geographique.coordonneesGeographiques.id","ror-entite-geographique.coordonneesGeographiques.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.coordonneesGeographiques.extension","ror-entite-geographique.coordonneesGeographiques.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ror-entite-geographique","ror-entite-geographique.coordonneesGeographiques.modifierExtension","ror-entite-geographique.coordonneesGeographiques.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ror-entite-geographique","ror-entite-geographique.coordonneesGeographiques.latitude","ror-entite-geographique.coordonneesGeographiques.latitude","","","",1,1,"","","","decimal {[]} {[]}
","Latitude","Latitude","","","","","","","","","",,,,,"",,,,"ror-entite-geographique.coordonneesGeographiques.latitude",1,1,"",""
"ror-entite-geographique","ror-entite-geographique.coordonneesGeographiques.longitude","ror-entite-geographique.coordonneesGeographiques.longitude","","","",1,1,"","","","decimal {[]} {[]}
","Longitude","Longitude","","","","","","","","","",,,,,"",,,,"ror-entite-geographique.coordonneesGeographiques.longitude",1,1,"",""
"ror-entite-geographique","ror-entite-geographique.accessibilitePMR","ror-entite-geographique.accessibilitePMR","","","",0,1,"","","","boolean {[]} {[]}
","Indique si l'entité est accessible aux PMR","Accessibilité pour les personnes à mobilité réduite","","","","","","","","","",,,,,"",,,,"ror-entite-geographique.accessibilitePMR",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.horairesAccueil","ror-entite-geographique.horairesAccueil","","","",0,1,"","","","string {[]} {[]}
","Horaires d'ouverture du secrétariat / accueil (texte libre)","Horaires d'accueil administratif","","","","","","","","","",,,,,"",,,,"ror-entite-geographique.horairesAccueil",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.telephoneContact","ror-entite-geographique.telephoneContact","","","",0,1,"","","","string {[]} {[]}
","Téléphone de contact pour les usagers","Numéro de téléphone principal","","","","","","","","","",,,,,"",,,,"ror-entite-geographique.telephoneContact",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.organisationsInternes","ror-entite-geographique.organisationsInternes","","","",0,*,"","","","Reference {[]} {[CanonicalType[https://interop.esante.gouv.fr/ig/fhir/test-ror/StructureDefinition/ror-organisation-interne|0.1.0]]}
","Liste des pôles, services et unités rattachés à cette entité","Organisations internes de cette entité","","","","","","","","","",,,,,"",,,,"ror-entite-geographique.organisationsInternes",0,*,"",""
"ror-offre-operationnelle","ror-offre-operationnelle","ror-offre-operationnelle","","","",0,*,"","","","null {[]} {[]}
","ROR - Offre Opérationnelle","Spécialisation ROR du modèle MOS OffreOperationnelle. Ajoute des éléments propres au Répertoire de l'Offre de soins et des Ressources.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ror-offre-operationnelle","ror-offre-operationnelle.familleActiviteOperationnelle","ror-offre-operationnelle.familleActiviteOperationnelle","","","",0,1,"","","","Coding {[]} {[]}
","Une famille d’activités opérationnelles est un regroupement cohérent d’activités délivrées dans le cadre d'une prestation, répondant à un besoin de la personne. Dans le secteur médico-social, la Famille d’activité correspond au niveau 4 des prestations de la nomenclature SERAFIN.","Une famille d’activités opérationnelles est un regroupement cohérent d’activités délivrées dans le cadre d'une prestation, répondant à un besoin de la personne. Dans le secteur médico-social, la Famille d’activité correspond au niveau 4 des prestations de la nomenclature SERAFIN.","","","","","","","","","",,"preferred","","https://interop.esante.gouv.fr/ig/mos/ValueSet/familleActiviteOperationnelle-vs|0.1.0-ballot","",,,,"OffreOperationnelle.familleActiviteOperationnelle",0,1,"",""
"ror-offre-operationnelle","ror-offre-operationnelle.identifiantOffre","ror-offre-operationnelle.identifiantOffre","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant unique de l'offre dans le ROR","Identifiant de l'offre, unique et persistant au niveau national, généré par une instance régionale du ROR ou par le ROR national.Format : Concaténation du code INSEE région et d’un identifiant généré, par le ROR régional ou le ROR national, séparé par le caractère ""slash"" (ex: 94/666).","","","","","","","","","",,,,,"",,,,"OffreOperationnelle.identifiantOffre",0,1,"",""
"ror-offre-operationnelle","ror-offre-operationnelle.nomOffre","ror-offre-operationnelle.nomOffre","","","",1,1,"","","","string {[]} {[]}
","Nom de l'offre tel qu'affiché dans le ROR","Dénomination sous laquelle l'offre est identifiée par le porteur d'offre et résultant de l'application de règles de bonnes pratiques pour être affichable auprès des professionnels comme du grand public.","","","","","","","","","",,,,,"",,,,"OffreOperationnelle.nomOffre",0,1,"",""
"ror-offre-operationnelle","ror-offre-operationnelle.typeOffre","ror-offre-operationnelle.typeOffre","","","",1,1,"","","","Coding {[]} {[]}
","Type d'offre (ex : soins, médico-social)","Le type d'offre permet de distinguer les offres et de les classer en fonction de leur nature particulière, liée à un agrément, un personnel spécialement formé ou un environnement particulièrement adapté à l'état de santé des patients.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R244-CategorieOrganisation/FHIR/TRE-R244-CategorieOrganisation?vs","",,,,"OffreOperationnelle.typeOffre",0,1,"",""
"ror-offre-operationnelle","ror-offre-operationnelle.champActivite","ror-offre-operationnelle.champActivite","","","",1,1,"","","","Coding {[]} {[]}
","Champ d'activité principal de l'offre","Un champ d’activité indique le domaine dans lequel s'inscrit l'offre.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R227-ChampActivite/FHIR/TRE-R227-ChampActivite?vs","",,,,"OffreOperationnelle.champActivite",0,1,"",""
"ror-offre-operationnelle","ror-offre-operationnelle.temporaliteAccueil","ror-offre-operationnelle.temporaliteAccueil","","","",0,1,"","","","Coding {[]} {[]}
","La temporalité d’accueil apporte une précision sur le mode de prise en charge. Elle indique si l'établissement médico-social accepte un accueil pour une durée limitée dans le temps, de 90 jours maximum par an.","La temporalité d’accueil apporte une précision sur le mode de prise en charge. Elle indique si l'établissement médico-social accepte un accueil pour une durée limitée dans le temps, de 90 jours maximum par an.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R240-TemporaliteAccueil/FHIR/TRE-R240-TemporaliteAccueil?vs","",,,,"OffreOperationnelle.temporaliteAccueil",0,1,"",""
