"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ror-entite-geographique","ror-entite-geographique.complementDenominationEG","ror-entite-geographique.complementDenominationEG","","","",0,1,"","","","string {[]} {[]}
","Suite de la dénomination de l'entité géographique, si elle existe. Ce complément peut contenir notamment des informations facilitant l'adressage d'un courrier aux structures.","Suite de la dénomination de l'entité géographique, si elle existe. Ce complément peut contenir notamment des informations facilitant l'adressage d'un courrier aux structures.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.complementDenominationEG",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.champActivite","ror-entite-geographique.champActivite","","","",0,*,"","","","Coding {[]} {[]}
","Champ(s) de l’activité des établissements de santé publics et privés français, notamment : - médecine, chirurgie, obstétrique (MCO),- soins de suite et de réadaptation (SSR), - psychiatrie (PSY).Ces champs d'activité seront enrichis avec l'intégration des établissements du secteur médico-social.","Champ(s) de l’activité des établissements de santé publics et privés français, notamment : - médecine, chirurgie, obstétrique (MCO),- soins de suite et de réadaptation (SSR), - psychiatrie (PSY).Ces champs d'activité seront enrichis avec l'intégration des établissements du secteur médico-social.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R227-ChampActivite/FHIR/TRE-R227-ChampActivite?vs","",,,,"EntiteGeographique.champActivite",0,*,"",""
"ror-entite-geographique","ror-entite-geographique.typeEtablissement","ror-entite-geographique.typeEtablissement","","","",0,1,"","","","string {[]} {[]}
","Le type d’établissement détermine si c'est un établissement principal ou secondaire.","Le type d’établissement détermine si c'est un établissement principal ou secondaire.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.typeEtablissement",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.etablissementPrincipal","ror-entite-geographique.etablissementPrincipal","","","",0,1,"","","","Identifier {[]} {[]}
","Dans le cas d’un établissement secondaire : Numéro FINESS de l’établissement principal dont dépend l’établissement.","Dans le cas d’un établissement secondaire : Numéro FINESS de l’établissement principal dont dépend l’établissement.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.etablissementPrincipal",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.secteurActivite","ror-entite-geographique.secteurActivite","","","",1,1,"","","","Coding {[]} {[]}
","Secteur d'activité principal de l'entité (restreint aux secteurs couverts par le ROR)","Un secteur d'activité regroupe les établissements partageant la même activité de santé. Exemples (établissement public de santé, maison de santé, etc.)","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/test-ror/ValueSet/vs-ror-secteur-activite|0.1.0","",,,,"EntiteGeographique.secteurActivite",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.categorieEtablissement","ror-entite-geographique.categorieEtablissement","","","",0,1,"","","","Coding {[]} {[]}
","Catégorie d'établissement (MCO, SSR, PSY, etc.)","La catégorie d'établissement est le cadre réglementaire dans lequel s'exerce l'activité de l'entité géographique. Les catégories d'établissement sont elles-mêmes classifiées en grands agrégats qui sont :** Etablissements relevant de la loi hospitalière,** Autres établissements de soins et de prévention,** Autres établissements à caractère sanitaire,** Etablissements et services sociaux d'accueil, hébergement, assistance, réadaptation,** Etablissements et services sociaux d'aide à la famille,** Etablissements de formation des personnels sanitaires et sociauxCette catégorie recouvre également des établissements qui ne sont pas encore enregistrés dans FINESS, tels que les dispositifs d’appui à la coordination.","","","","","","","","","",,"preferred","","https://interop.esante.gouv.fr/ig/mos/ValueSet/categorieEtablissement-vs|0.1.0-ballot","",,,,"EntiteGeographique.categorieEtablissement",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.agregatCategorieEtablissementNiv1","ror-entite-geographique.agregatCategorieEtablissementNiv1","","","",0,1,"","","","Coding {[]} {[]}
","Agrégat de catégories d'établissements de niveau 1. L'agrégat de niveau 1 représente des regroupements d'agrégat de niveau 2. Par exemple, le code 1000 ""Etablissement relevant de la loi hospitalière"" regroupe les codes d'agrégat de niveau 2 1100 et 1200.","Agrégat de catégories d'établissements de niveau 1. L'agrégat de niveau 1 représente des regroupements d'agrégat de niveau 2. Par exemple, le code 1000 ""Etablissement relevant de la loi hospitalière"" regroupe les codes d'agrégat de niveau 2 1100 et 1200.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R63-AgregatCategorieEtablissementNiv1/FHIR/TRE-R63-AgregatCategorieEtablissementNiv1?vs","",,,,"EntiteGeographique.agregatCategorieEtablissementNiv1",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.agregatCategorieEtablissementNiv2","ror-entite-geographique.agregatCategorieEtablissementNiv2","","","",0,1,"","","","Coding {[]} {[]}
","Agrégat de catégories d'établissements de niveau 2. L'agrégat de niveau 2 représente des regroupements d'agrégats de niveau 3. Par exemple, le code 1100 ""Etablissement hospitaliers"" regroupe les codes d'agrégat de niveau 3 1101, 1102, etc.","Agrégat de catégories d'établissements de niveau 2. L'agrégat de niveau 2 représente des regroupements d'agrégats de niveau 3. Par exemple, le code 1100 ""Etablissement hospitaliers"" regroupe les codes d'agrégat de niveau 3 1101, 1102, etc.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R64-AgregatCategorieEtablissementNiv2/FHIR/TRE-R64-AgregatCategorieEtablissementNiv2?vs","",,,,"EntiteGeographique.agregatCategorieEtablissementNiv2",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.agregatCategorieEtablissementNiv3","ror-entite-geographique.agregatCategorieEtablissementNiv3","","","",0,1,"","","","Coding {[]} {[]}
","Agrégat de catégories d'établissements de niveau 3. L'agrégat de niveau 3 représente des regroupements de catégories d'établissement. Par exemple, le code 1101 ""Centres hospitaliers régionaux"" regroupe les catégories d'établissement 101, 106 etc.","Agrégat de catégories d'établissements de niveau 3. L'agrégat de niveau 3 représente des regroupements de catégories d'établissement. Par exemple, le code 1101 ""Centres hospitaliers régionaux"" regroupe les catégories d'établissement 101, 106 etc.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R65-AgregatCategorieEtablissement/FHIR/TRE-R65-AgregatCategorieEtablissement?vs","",,,,"EntiteGeographique.agregatCategorieEtablissementNiv3",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.codeAPET","ror-entite-geographique.codeAPET","","","",0,1,"","","","Coding {[]} {[]}
","Toute entité juridique et chacun de ses établissements (EG) se voit attribuer par l'Insee, lors de son inscription au répertoire SIRENE, un code caractérisant son activité principale par référence à la nomenclature d'activités française (NAF rév. 2).Plus précisément, on distingue le code APET pour les EG.","Toute entité juridique et chacun de ses établissements (EG) se voit attribuer par l'Insee, lors de son inscription au répertoire SIRENE, un code caractérisant son activité principale par référence à la nomenclature d'activités française (NAF rév. 2).Plus précisément, on distingue le code APET pour les EG.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R75-InseeNAFrev2Niveau5/FHIR/TRE-R75-InseeNAFrev2Niveau5?vs","",,,,"EntiteGeographique.codeAPET",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.modeFixationTarif","ror-entite-geographique.modeFixationTarif","","","",0,1,"","","","Coding {[]} {[]}
","Le mode de tarification détermine l'autorité responsable de la fixation du tarif principal de l'établissement et la procédure utilisée. Il est unique pour un établissement FINESS donné.","Le mode de tarification détermine l'autorité responsable de la fixation du tarif principal de l'établissement et la procédure utilisée. Il est unique pour un établissement FINESS donné.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R74-ModeFixationTarifaire/FHIR/TRE-R74-ModeFixationTarifaire?vs","",,,,"EntiteGeographique.modeFixationTarif",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.modaliteParticipationSPH","ror-entite-geographique.modaliteParticipationSPH","","","",0,1,"","","","Coding {[]} {[]}
","Modalités de participation au service public hospitalier.","Modalités de participation au service public hospitalier.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R73-ESPIC/FHIR/TRE-R73-ESPIC?vs","",,,,"EntiteGeographique.modaliteParticipationSPH",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.natureEtablissement","ror-entite-geographique.natureEtablissement","","","",0,1,"","","","string {[]} {[]}
","Nature du budget alloué à l'établissement dont les valeurs sont ""G"" pour général et ""A"" pour annexe.","Nature du budget alloué à l'établissement dont les valeurs sont ""G"" pour général et ""A"" pour annexe.","","","","","","","","","",,,,,"",,,,"EntiteGeographique.natureEtablissement",0,1,"",""
"ror-entite-geographique","ror-entite-geographique.aideFinanciere","ror-entite-geographique.aideFinanciere","","","",0,*,"","","","Coding {[]} {[]}
","Habilitation ou conventionnement de l'entité géographique permettant aux personnes accueillies de bénéficier des aides financières, si elles remplissent les conditions.","Habilitation ou conventionnement de l'entité géographique permettant aux personnes accueillies de bénéficier des aides financières, si elles remplissent les conditions.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R241-AideFinanciere/FHIR/TRE-R241-AideFinanciere?vs","",,,,"EntiteGeographique.aideFinanciere",0,*,"",""
